model,benchmark_group,crop,input,run_name,baseline_run_name,n_test,n_bootstrap,seed,stratification,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,bootstrap_probability_delta_gt_zero_roc_auc,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high,bootstrap_probability_delta_gt_zero_average_precision,delta_balanced_accuracy,delta_balanced_accuracy_ci_low,delta_balanced_accuracy_ci_high,bootstrap_probability_delta_gt_zero_balanced_accuracy
BiomedCLIP,Image-only,Whole volume,Phase 1,biomedclip_whole_phase1_logreg,clinical_logreg,306,5000,20260921,dataset+pcr,-0.1166389015094148,-0.19248952496340047,-0.040432379221566,0.0014,-0.09811634398577596,-0.2038889577152812,0.006166925678221225,0.032,-0.06603059215508111,-0.1348629410873845,0.002801756777222497,0.032
Curia,Image-only,Expert ROI,Phase 2 - phase 0,curia_expert_roi_phase2_minus_phase0_logreg,clinical_logreg,306,5000,20260921,dataset+pcr,-0.10548235650461901,-0.1865080266545508,-0.019483568075117374,0.0102,-0.06823736078746467,-0.1798115317859726,0.04249275328812711,0.1122,-0.06338028169014087,-0.13524155686809025,0.011222171740117888,0.0436
Curia,Image-only,Expert ROI,Selected ROI fusion,curia_expert_roi_selected_fusion_logreg,clinical_logreg,306,5000,20260921,dataset+pcr,-0.1270886970568933,-0.20871447321924375,-0.04155876116916574,0.0012,-0.056338184777966926,-0.17127807559098937,0.03997880213112379,0.1266,-0.09510828411328187,-0.15584014841738603,-0.03468120551264575,0.0006
MedSigLIP,Image-only,Expert ROI,Phase 2 - phase 0,medsiglip_expert_roi_phase2_minus_phase0_logreg,clinical_logreg,306,5000,20260921,dataset+pcr,-0.11366045736786301,-0.19269397748498152,-0.030839517391084953,0.003,-0.09881916311062194,-0.20921192823646148,0.007834890367480554,0.0336,-0.07655611085870062,-0.14940368014538852,-0.0063607451158564894,0.015
Pillar-0 BreastMRI,Image-only,Expert ROI,Phase 0 + phase 2 + last phase,pillar0_breastmri_expert_roi_phase0_phase2_last_logreg,clinical_logreg,306,5000,20260921,dataset+pcr,-0.14904841233782617,-0.2370696400625978,-0.06365351607855006,0.0006,-0.09909084016986436,-0.2147031879926416,0.005021792390051085,0.0306,-0.07837346660608824,-0.15630016659094348,-0.0027960775405119925,0.0218
RadImageNet,Image-only,Whole volume,Phase 2 - phase 0,radimagenet_whole_phase2_minus_phase0_logreg,clinical_logreg,306,5000,20260921,dataset+pcr,-0.11603311626028578,-0.19344742288858596,-0.038312130849613976,0.0024,-0.10635029044099131,-0.202940637637803,-0.008727391121868093,0.0156,-0.04853854308647587,-0.1230501287293655,0.02703316674238987,0.1014
RadioDINO,Image-only,Expert ROI,Phase 2 - phase 0,radiodino_expert_roi_phase2_minus_phase0_logreg,clinical_logreg,306,5000,20260921,dataset+pcr,-0.1619718309859155,-0.24421159573931048,-0.07693472663940648,0.0,-0.11516222187154074,-0.229079606704305,-0.017407965449286283,0.0104,-0.08806603059215523,-0.165303649856126,-0.009844010298349248,0.014
BiomedCLIP,Image + clinical,Whole volume,Phase 1,biomedclip_whole_phase1_image_clinical_logreg,clinical_logreg,306,5000,20260921,dataset+pcr,0.00381139885910442,-0.03720783482255527,0.045031298904538296,0.573,0.05034226757557536,-0.030145956361087165,0.11060334647984414,0.8912,-0.036952900196880245,-0.09200363471149475,0.017122898682416995,0.0934
Curia,Image + clinical,Expert ROI,Phase 2 - phase 0,curia_expert_roi_phase2_minus_phase0_image_clinical_logreg,clinical_logreg,306,5000,20260921,dataset+pcr,-0.011383714473219286,-0.06961608359836449,0.050887222979453604,0.355,0.04062614802979814,-0.059068129065386735,0.13653062216556727,0.7838,0.015901862789641008,-0.04930145388459795,0.08247766166893813,0.6848
MedSigLIP,Image + clinical,Whole volume,Phase 1,medsiglip_whole_phase1_image_clinical_logreg,clinical_logreg,306,5000,20260921,dataset+pcr,-0.02950678984300059,-0.07756575294058254,0.019588318441112553,0.12,-0.01881763112234791,-0.1091436249285176,0.05914034731833797,0.3006,-0.0621687111918825,-0.1169165530819325,-0.008405270331667491,0.0116
Pillar-0 BreastMRI,Image + clinical,Expert ROI,Phase 0 + phase 1 + last phase,pillar0_breastmri_expert_roi_phase0_phase1_last_image_clinical_logreg,clinical_logreg,306,5000,20260921,dataset+pcr,-0.09382099045888226,-0.1678542581654803,-0.022992705335958562,0.006,-0.021562455020100124,-0.13275629335541675,0.07563766927338055,0.3108,-0.049144328335605,-0.1179766772679085,0.016734817507193637,0.0782
RadImageNet,Image + clinical,Whole volume,Phase 2 - phase 0,radimagenet_whole_phase2_minus_phase0_image_clinical_logreg,clinical_logreg,306,5000,20260921,dataset+pcr,-0.010424554495431337,-0.0697713160684537,0.05038113988591042,0.3694,0.00800383789699144,-0.07664602877773787,0.09368770162788506,0.5716,0.0391488717249735,-0.021664394971982366,0.10026503104649388,0.8956
RadioDINO,Image + clinical,Expert ROI,Phase 2 - phase 0,radiodino_expert_roi_phase2_minus_phase0_image_clinical_logreg,clinical_logreg,306,5000,20260921,dataset+pcr,-0.028951486697965434,-0.07910608814175386,0.02191175728204346,0.13,-0.0016334565873715734,-0.09262433065497716,0.0791692928048482,0.4722,-0.0032560957140694846,-0.05694381341814325,0.04983340905648949,0.452
