model,benchmark_group,crop,input,run_name,run_dir,selection_reason,n_test,n_bootstrap,seed,stratification,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high
Clinical baseline,Clinical-only,,Clinical variables,clinical_logreg,Benchmarking/outputs/probes/clinical_logreg,Clinical-only reference,306,5000,20260921,dataset+pcr,0.7350446766621233,0.6810016911504871,0.7859053965369276,0.5021832579556443,0.43835257858235877,0.5990704671001441,0.6416023019839467,0.5905573224291989,0.694002726033621
BiomedCLIP,Image-only,Whole volume,Phase 1,biomedclip_whole_phase1_logreg,Benchmarking/outputs/probes/biomedclip_whole_phase1_logreg,Exploratory per-model Image-only AUROC winner,306,5000,20260921,dataset+pcr,0.6184057751527084,0.5559064061790095,0.6787318895451562,0.4040669139698684,0.35025354238200945,0.4882349595951396,0.5755717098288656,0.5255111313039528,0.6249507799485081
Curia,Image-only,Expert ROI,Phase 2 - phase 0,curia_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/curia_expert_roi_phase2_minus_phase0_logreg,Exploratory per-model Image-only AUROC winner; Exploratory overall Image-only AUROC winner,306,5000,20260921,dataset+pcr,0.6295623201575042,0.5635317280024232,0.69700641122722,0.43394589716817966,0.3665219258134611,0.529342696280327,0.5782220202938059,0.5227926699984855,0.6359987884295017
Curia,Image-only,Expert ROI,Selected ROI fusion,curia_expert_roi_selected_fusion_logreg,Benchmarking/outputs/probes/curia_expert_roi_selected_fusion_logreg,Exploratory overall Image-only AP winner,306,5000,20260921,dataset+pcr,0.60795597960523,0.5405043162199001,0.6739373517088192,0.4458450731776774,0.3726230794909432,0.5282638593094188,0.5464940178706649,0.5018173557473875,0.5918521883992125
MedSigLIP,Image-only,Expert ROI,Phase 2 - phase 0,medsiglip_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/medsiglip_expert_roi_phase2_minus_phase0_logreg,Exploratory per-model Image-only AUROC winner,306,5000,20260921,dataset+pcr,0.6213842192942602,0.5550469483568076,0.6833270230703216,0.4033640948450224,0.34836130876484656,0.4864848589454063,0.5650461911252461,0.5143041041950629,0.616388384067848
Pillar-0 BreastMRI,Image-only,Expert ROI,Phase 0 + phase 2 + last phase,pillar0_breastmri_expert_roi_phase0_phase2_last_logreg,Benchmarking/outputs/probes/pillar0_breastmri_expert_roi_phase0_phase2_last_logreg,Exploratory per-model Image-only AUROC winner,306,5000,20260921,dataset+pcr,0.5859962643242971,0.5130975819072139,0.6569236205765057,0.40309241778578,0.3398674391104144,0.4934350731298116,0.5632288353778585,0.5034075420263516,0.6216871119188248
RadImageNet,Image-only,Whole volume,Phase 2 - phase 0,radimagenet_whole_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/radimagenet_whole_phase2_minus_phase0_logreg,Exploratory per-model Image-only AUROC winner; Exploratory overall Image-only balanced accuracy winner,306,5000,20260921,dataset+pcr,0.6190115604018375,0.5543944671613913,0.6826694936644959,0.395832967514653,0.34312723543879614,0.4794392309659038,0.5930637588974709,0.5333162956232016,0.6501590186278965
RadioDINO,Image-only,Expert ROI,Phase 2 - phase 0,radiodino_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/radiodino_expert_roi_phase2_minus_phase0_logreg,Exploratory per-model Image-only AUROC winner,306,5000,20260921,dataset+pcr,0.5730728456762078,0.5054268261901156,0.6384496945832702,0.3870210360841036,0.32596853276306437,0.4625253062670101,0.5535362713917915,0.4947751022262608,0.6139633499924277
BiomedCLIP,Image + clinical,Whole volume,Phase 1,biomedclip_whole_phase1_image_clinical_logreg,Benchmarking/outputs/probes/biomedclip_whole_phase1_image_clinical_logreg,Exploratory per-model Image + clinical AUROC winner; Exploratory overall Image + clinical AUROC winner; Exploratory overall Image + clinical AP winner,306,5000,20260921,dataset+pcr,0.7388560755212277,0.6846382957241658,0.7903478216972082,0.5525255255312197,0.4766211930454339,0.6336082446610014,0.6046494017870665,0.5522414054217779,0.6570498258367409
Curia,Image + clinical,Expert ROI,Phase 2 - phase 0,curia_expert_roi_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/probes/curia_expert_roi_phase2_minus_phase0_image_clinical_logreg,Exploratory per-model Image + clinical AUROC winner,306,5000,20260921,dataset+pcr,0.723660962188904,0.6638838406784794,0.7822744711999595,0.5428094059854425,0.4668290183584564,0.6458557824274391,0.6575041647735878,0.6013933060729971,0.7149780402847191
MedSigLIP,Image + clinical,Whole volume,Phase 1,medsiglip_whole_phase1_image_clinical_logreg,Benchmarking/outputs/probes/medsiglip_whole_phase1_image_clinical_logreg,Exploratory per-model Image + clinical AUROC winner,306,5000,20260921,dataset+pcr,0.7055378868191227,0.6495494472209601,0.7577363824524206,0.4833656268332964,0.41890047839522637,0.5673539646490595,0.5794335907920642,0.5303574132969863,0.629486597001363
Pillar-0 BreastMRI,Image + clinical,Expert ROI,Phase 0 + phase 1 + last phase,pillar0_breastmri_expert_roi_phase0_phase1_last_image_clinical_logreg,Benchmarking/outputs/probes/pillar0_breastmri_expert_roi_phase0_phase1_last_image_clinical_logreg,Exploratory per-model Image + clinical AUROC winner,306,5000,20260921,dataset+pcr,0.641223686203241,0.5721086374880106,0.7069009036296632,0.4806208029355442,0.402925383051235,0.57138853622437,0.5924579736483417,0.5336968044828109,0.649939421475087
RadImageNet,Image + clinical,Whole volume,Phase 2 - phase 0,radimagenet_whole_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/probes/radimagenet_whole_phase2_minus_phase0_image_clinical_logreg,Exploratory per-model Image + clinical AUROC winner; Exploratory overall Image + clinical balanced accuracy winner,306,5000,20260921,dataset+pcr,0.7246201221666919,0.6625258720783482,0.7853046594982079,0.5101870958526358,0.43982921604058695,0.6121219236178942,0.6807511737089202,0.6226639406330456,0.7361805240042405
RadioDINO,Image + clinical,Expert ROI,Phase 2 - phase 0,radiodino_expert_roi_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/probes/radiodino_expert_roi_phase2_minus_phase0_image_clinical_logreg,Exploratory per-model Image + clinical AUROC winner,306,5000,20260921,dataset+pcr,0.7060931899641578,0.6426838810641627,0.7659170074208692,0.5005498013682728,0.4285187965398387,0.5961093909166134,0.6383462062698773,0.5805694381341815,0.694457064970468
