scope,model,benchmark_group,metric,best_value,crop,input,feature_set,clinical_data,test_roc_auc,test_average_precision,test_balanced_accuracy,run_name
per_model,BiomedCLIP,Image + clinical,AUROC,0.7388560755212277,Whole volume,Phase 1,Image + clinical,Yes,0.7388560755212277,0.5525255255312197,0.6046494017870665,biomedclip_whole_phase1_image_clinical_logreg
per_model,BiomedCLIP,Image + clinical,AP,0.5525255255312197,Whole volume,Phase 1,Image + clinical,Yes,0.7388560755212277,0.5525255255312197,0.6046494017870665,biomedclip_whole_phase1_image_clinical_logreg
per_model,BiomedCLIP,Image + clinical,Bal Acc,0.6515977585945782,Expert ROI,Phase 2 - phase 0,Image + clinical,Yes,0.7062446362764402,0.512677211496683,0.6515977585945782,biomedclip_expert_roi_phase2_minus_phase0_image_clinical_logreg
per_model,BiomedCLIP,Image-only,AUROC,0.6184057751527084,Whole volume,Phase 1,Image-only,No,0.6184057751527084,0.4040669139698684,0.5755717098288656,biomedclip_whole_phase1_logreg
per_model,BiomedCLIP,Image-only,AP,0.4093918882612055,Whole volume,All DCE fusion,Image-only fused embeddings,No,0.6016961986975616,0.4093918882612055,0.5438437074057247,biomedclip_whole_all_dce_fusion_logreg
per_model,BiomedCLIP,Image-only,Bal Acc,0.5755717098288656,Whole volume,Phase 1,Image-only,No,0.6184057751527084,0.4040669139698684,0.5755717098288656,biomedclip_whole_phase1_logreg
per_model,Curia,Image + clinical,AUROC,0.723660962188904,Expert ROI,Phase 2 - phase 0,Image + clinical,Yes,0.723660962188904,0.5428094059854425,0.6575041647735878,curia_expert_roi_phase2_minus_phase0_image_clinical_logreg
per_model,Curia,Image + clinical,AP,0.5428094059854425,Expert ROI,Phase 2 - phase 0,Image + clinical,Yes,0.723660962188904,0.5428094059854425,0.6575041647735878,curia_expert_roi_phase2_minus_phase0_image_clinical_logreg
per_model,Curia,Image + clinical,Bal Acc,0.6575041647735878,Expert ROI,Phase 2 - phase 0,Image + clinical,Yes,0.723660962188904,0.5428094059854425,0.6575041647735878,curia_expert_roi_phase2_minus_phase0_image_clinical_logreg
per_model,Curia,Image-only,AUROC,0.6295623201575042,Expert ROI,Phase 2 - phase 0,Image-only,No,0.6295623201575042,0.4339458971681796,0.5782220202938059,curia_expert_roi_phase2_minus_phase0_logreg
per_model,Curia,Image-only,AP,0.4458450731776774,Expert ROI,Selected ROI fusion,Image-only fused embeddings,No,0.60795597960523,0.4458450731776774,0.5464940178706649,curia_expert_roi_selected_fusion_logreg
per_model,Curia,Image-only,Bal Acc,0.5782220202938059,Expert ROI,Phase 2 - phase 0,Image-only,No,0.6295623201575042,0.4339458971681796,0.5782220202938059,curia_expert_roi_phase2_minus_phase0_logreg
per_model,MedSigLIP,Image + clinical,AUROC,0.7055378868191227,Whole volume,Phase 1,Image + clinical,Yes,0.7055378868191227,0.4833656268332964,0.5794335907920642,medsiglip_whole_phase1_image_clinical_logreg
per_model,MedSigLIP,Image + clinical,AP,0.4833656268332964,Whole volume,Phase 1,Image + clinical,Yes,0.7055378868191227,0.4833656268332964,0.5794335907920642,medsiglip_whole_phase1_image_clinical_logreg
per_model,MedSigLIP,Image + clinical,Bal Acc,0.6528850522489777,Expert ROI,Phase 2 - phase 0,Image + clinical,Yes,0.7027613710939472,0.4807548926201415,0.6528850522489777,medsiglip_expert_roi_phase2_minus_phase0_image_clinical_logreg
per_model,MedSigLIP,Image-only,AUROC,0.6213842192942602,Expert ROI,Phase 2 - phase 0,Image-only,No,0.6213842192942602,0.4033640948450224,0.5650461911252461,medsiglip_expert_roi_phase2_minus_phase0_logreg
per_model,MedSigLIP,Image-only,AP,0.4037284274945059,Expert ROI,Selected ROI fusion,Image-only fused embeddings,No,0.618708667777273,0.4037284274945059,0.5778434045131001,medsiglip_expert_roi_selected_fusion_logreg
per_model,MedSigLIP,Image-only,Bal Acc,0.5778434045131001,Expert ROI,Selected ROI fusion,Image-only fused embeddings,No,0.618708667777273,0.4037284274945059,0.5778434045131001,medsiglip_expert_roi_selected_fusion_logreg
per_model,Pillar-0 BreastMRI,Image-only,AUROC,0.5455096168408299,Whole volume,Phase 0 + phase 2 + last phase,Image-only,No,0.5455096168408299,0.3577990724703412,0.5274117825230956,pillar0_breastmri_whole_phase0_phase2_last_logreg
per_model,Pillar-0 BreastMRI,Image-only,AP,0.3662776952799819,Whole volume,Phase 0 + phase 1 + phase 2,Image-only,No,0.5424302084910899,0.3662776952799819,0.530743601393306,pillar0_breastmri_whole_phase0_phase1_phase2_logreg
per_model,Pillar-0 BreastMRI,Image-only,Bal Acc,0.530743601393306,Whole volume,Phase 0 + phase 1 + phase 2,Image-only,No,0.5424302084910899,0.3662776952799819,0.530743601393306,pillar0_breastmri_whole_phase0_phase1_phase2_logreg
per_model,RadioDINO,Image + clinical,AUROC,0.7060931899641578,Expert ROI,Phase 2 - phase 0,Image + clinical,Yes,0.7060931899641578,0.5005498013682728,0.6383462062698773,radiodino_expert_roi_phase2_minus_phase0_image_clinical_logreg
per_model,RadioDINO,Image + clinical,AP,0.5005498013682728,Expert ROI,Phase 2 - phase 0,Image + clinical,Yes,0.7060931899641578,0.5005498013682728,0.6383462062698773,radiodino_expert_roi_phase2_minus_phase0_image_clinical_logreg
per_model,RadioDINO,Image + clinical,Bal Acc,0.6383462062698773,Expert ROI,Phase 2 - phase 0,Image + clinical,Yes,0.7060931899641578,0.5005498013682728,0.6383462062698773,radiodino_expert_roi_phase2_minus_phase0_image_clinical_logreg
per_model,RadioDINO,Image-only,AUROC,0.5730728456762078,Expert ROI,Phase 2 - phase 0,Image-only,No,0.5730728456762078,0.3870210360841036,0.5535362713917915,radiodino_expert_roi_phase2_minus_phase0_logreg
per_model,RadioDINO,Image-only,AP,0.3870210360841036,Expert ROI,Phase 2 - phase 0,Image-only,No,0.5730728456762078,0.3870210360841036,0.5535362713917915,radiodino_expert_roi_phase2_minus_phase0_logreg
per_model,RadioDINO,Image-only,Bal Acc,0.5535362713917915,Expert ROI,Phase 2 - phase 0,Image-only,No,0.5730728456762078,0.3870210360841036,0.5535362713917915,radiodino_expert_roi_phase2_minus_phase0_logreg
overall,BiomedCLIP,Image + clinical,AUROC,0.7388560755212277,Whole volume,Phase 1,Image + clinical,Yes,0.7388560755212277,0.5525255255312197,0.6046494017870665,biomedclip_whole_phase1_image_clinical_logreg
overall,BiomedCLIP,Image + clinical,AP,0.5525255255312197,Whole volume,Phase 1,Image + clinical,Yes,0.7388560755212277,0.5525255255312197,0.6046494017870665,biomedclip_whole_phase1_image_clinical_logreg
overall,Curia,Image + clinical,Bal Acc,0.6575041647735878,Expert ROI,Phase 2 - phase 0,Image + clinical,Yes,0.723660962188904,0.5428094059854425,0.6575041647735878,curia_expert_roi_phase2_minus_phase0_image_clinical_logreg
overall,Curia,Image-only,AUROC,0.6295623201575042,Expert ROI,Phase 2 - phase 0,Image-only,No,0.6295623201575042,0.4339458971681796,0.5782220202938059,curia_expert_roi_phase2_minus_phase0_logreg
overall,Curia,Image-only,AP,0.4458450731776774,Expert ROI,Selected ROI fusion,Image-only fused embeddings,No,0.60795597960523,0.4458450731776774,0.5464940178706649,curia_expert_roi_selected_fusion_logreg
overall,Curia,Image-only,Bal Acc,0.5782220202938059,Expert ROI,Phase 2 - phase 0,Image-only,No,0.6295623201575042,0.4339458971681796,0.5782220202938059,curia_expert_roi_phase2_minus_phase0_logreg
