model,benchmark_group,crop,input,feature_set,clinical_data,test_roc_auc,test_average_precision,test_balanced_accuracy,test_recall_sensitivity,test_specificity,test_precision,test_f1,test_tp,test_fp,test_fn,test_tn,selected_threshold_from_validation,best_c,num_embedding_features,official_train_final_fit,official_test,run_name,run_dir,embeddings
Clinical baseline,Clinical-only,N/A,Clinical variables,Clinical-only,Yes,0.7350446766621233,0.5021832579556443,0.6416023019839467,0.4193548387096774,0.863849765258216,0.5735294117647058,0.484472049689441,39,29,54,184,0.596,0.01,,1185,306,clinical_logreg,Benchmarking/outputs/probes/clinical_logreg,
Pillar-0 BreastMRI,Image-only,Whole volume,Phase 0 + phase 1 + last phase,Image-only,No,0.525619667827755,0.3567127164910749,0.5227169468423444,0.5806451612903226,0.4647887323943662,0.3214285714285714,0.4137931034482758,54,114,39,99,0.004,10.0,1152.0,1185,306,pillar0_breastmri_whole_phase0_phase1_last_logreg,Benchmarking/outputs/probes/pillar0_breastmri_whole_phase0_phase1_last_logreg,Benchmarking/outputs/embeddings/pillar0_breastmri/whole_phase0_phase1_last/patient_embeddings.csv
Pillar-0 BreastMRI,Image-only,Whole volume,Phase 0 + phase 1 + phase 2,Image-only,No,0.5424302084910899,0.3662776952799819,0.530743601393306,0.5591397849462365,0.5023474178403756,0.3291139240506329,0.4143426294820717,52,106,41,107,0.356,0.01,1152.0,1185,306,pillar0_breastmri_whole_phase0_phase1_phase2_logreg,Benchmarking/outputs/probes/pillar0_breastmri_whole_phase0_phase1_phase2_logreg,Benchmarking/outputs/embeddings/pillar0_breastmri/whole_phase0_phase1_phase2/patient_embeddings.csv
Pillar-0 BreastMRI,Image-only,Whole volume,Phase 0 + phase 2 + last phase,Image-only,No,0.5455096168408299,0.3577990724703412,0.5274117825230956,0.5806451612903226,0.4741784037558685,0.3253012048192771,0.416988416988417,54,112,39,101,0.008,10.0,1152.0,1185,306,pillar0_breastmri_whole_phase0_phase2_last_logreg,Benchmarking/outputs/probes/pillar0_breastmri_whole_phase0_phase2_last_logreg,Benchmarking/outputs/embeddings/pillar0_breastmri/whole_phase0_phase2_last/patient_embeddings.csv
Pillar-0 BreastMRI,Image-only,Whole volume,Subtraction triplet,Image-only,No,0.486193144530264,0.3180820061626761,0.4940178706648493,0.3870967741935484,0.6009389671361502,0.2975206611570248,0.3364485981308411,36,85,57,128,0.116,10.0,1152.0,1185,306,pillar0_breastmri_whole_subtractions_phase1_phase2_last_logreg,Benchmarking/outputs/probes/pillar0_breastmri_whole_subtractions_phase1_phase2_last_logreg,Benchmarking/outputs/embeddings/pillar0_breastmri/whole_subtractions_phase1_phase2_last/patient_embeddings.csv
Pillar-0 BreastMRI,Image-only,Expert ROI,Phase 0 + phase 1 + last phase,Image-only,No,0.5721136856984199,0.3924887468674618,0.5270331667423898,0.5376344086021505,0.5164319248826291,0.326797385620915,0.4065040650406504,50,103,43,110,0.44,0.001,1152.0,1185,306,pillar0_breastmri_expert_roi_phase0_phase1_last_logreg,Benchmarking/outputs/probes/pillar0_breastmri_expert_roi_phase0_phase1_last_logreg,Benchmarking/outputs/embeddings/pillar0_breastmri/expert_roi_phase0_phase1_last/patient_embeddings.csv
Pillar-0 BreastMRI,Image-only,Expert ROI,Phase 0 + phase 1 + phase 2,Image-only,No,0.5571205007824727,0.3688551698713217,0.5334696350143874,0.6021505376344086,0.4647887323943662,0.3294117647058823,0.4258555133079847,56,114,37,99,0.42,0.001,1152.0,1185,306,pillar0_breastmri_expert_roi_phase0_phase1_phase2_logreg,Benchmarking/outputs/probes/pillar0_breastmri_expert_roi_phase0_phase1_phase2_logreg,Benchmarking/outputs/embeddings/pillar0_breastmri/expert_roi_phase0_phase1_phase2/patient_embeddings.csv
Pillar-0 BreastMRI,Image-only,Expert ROI,Phase 0 + phase 2 + last phase,Image-only,No,0.5859962643242971,0.40309241778578,0.5632288353778585,0.5161290322580645,0.6103286384976526,0.366412213740458,0.4285714285714285,48,83,45,130,0.468,0.001,1152.0,1185,306,pillar0_breastmri_expert_roi_phase0_phase2_last_logreg,Benchmarking/outputs/probes/pillar0_breastmri_expert_roi_phase0_phase2_last_logreg,Benchmarking/outputs/embeddings/pillar0_breastmri/expert_roi_phase0_phase2_last/patient_embeddings.csv
Pillar-0 BreastMRI,Image-only,Expert ROI,Subtraction triplet,Image-only,No,0.5679236710586097,0.3810097279328406,0.5524004240496744,0.4193548387096774,0.6854460093896714,0.3679245283018867,0.3919597989949748,39,67,54,146,0.492,0.001,1152.0,1185,306,pillar0_breastmri_expert_roi_subtractions_phase1_phase2_last_logreg,Benchmarking/outputs/probes/pillar0_breastmri_expert_roi_subtractions_phase1_phase2_last_logreg,Benchmarking/outputs/embeddings/pillar0_breastmri/expert_roi_subtractions_phase1_phase2_last/patient_embeddings.csv
Pillar-0 BreastMRI,Image + clinical,Whole volume,Phase 0 + phase 1 + last phase,Image + clinical,Yes,0.6057852491291837,0.42086073228882,0.572694229895502,0.5913978494623656,0.5539906103286385,0.3666666666666666,0.4526748971193415,55,95,38,118,0.012,10.0,1152.0,1185,306,pillar0_breastmri_whole_phase0_phase1_last_image_clinical_logreg,Benchmarking/outputs/probes/pillar0_breastmri_whole_phase0_phase1_last_image_clinical_logreg,Benchmarking/outputs/embeddings/pillar0_breastmri/whole_phase0_phase1_last/patient_embeddings.csv
