run_dir,probe,manifest,embeddings,usable_flag,selection_metric,best_c,selected_threshold_from_validation,num_embedding_features,official_train_final_fit,official_test,test_roc_auc,test_average_precision,test_balanced_accuracy,test_accuracy,test_precision,test_recall_sensitivity,test_specificity,test_f1,test_tn,test_fp,test_fn,test_tp,test_roc_auc_0p5,test_average_precision_0p5,test_balanced_accuracy_0p5
Benchmarking/outputs/probes/clinical_logreg,clinical_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,,usable_for_whole_volume_benchmark,average_precision,0.01,0.596,,1185,306,0.7350446766621233,0.5021832579556443,0.6416023019839467,0.7287581699346405,0.5735294117647058,0.41935483870967744,0.863849765258216,0.484472049689441,184,29,54,39,0.7350446766621233,0.5021832579556443,0.636074511585643
Benchmarking/outputs/probes/curia_expert_roi_phase1_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/curia/expert_roi_phase1/patient_embeddings.csv,usable_for_expert_roi_benchmark,average_precision,0.003,0.392,768.0,1185,306,0.6016961986975617,0.4304761488389308,0.5433893684688778,0.4444444444444444,0.3288888888888889,0.7956989247311828,0.29107981220657275,0.46540880503144655,62,151,19,74,0.6016961986975617,0.4304761488389308,0.5896562168711191
Benchmarking/outputs/probes/curia_expert_roi_phase2_minus_phase0_image_clinical_logreg,image_clinical_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/curia/expert_roi_phase2_minus_phase0/patient_embeddings.csv,usable_for_expert_roi_benchmark,average_precision,0.001,0.494,768.0,1185,306,0.723660962188904,0.5428094059854425,0.6575041647735878,0.696078431372549,0.5,0.5591397849462365,0.755868544600939,0.5279187817258884,161,52,41,52,0.723660962188904,0.5428094059854425,0.6413751325155232
Benchmarking/outputs/probes/curia_expert_roi_phase2_minus_phase0_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/curia/expert_roi_phase2_minus_phase0/patient_embeddings.csv,usable_for_expert_roi_benchmark,average_precision,0.003,0.52,768.0,1185,306,0.6295623201575042,0.43394589716817966,0.5782220202938059,0.6405228758169934,0.4105263157894737,0.41935483870967744,0.7370892018779343,0.4148936170212766,157,56,54,39,0.6295623201575042,0.43394589716817966,0.590034832651825
Benchmarking/outputs/probes/curia_expert_roi_selected_fusion_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/curia/expert_roi_selected_fusion/patient_embeddings.csv,usable_for_expert_roi_benchmark,average_precision,0.001,0.562,1536.0,1185,306,0.60795597960523,0.4458450731776774,0.5464940178706649,0.6764705882352942,0.43478260869565216,0.21505376344086022,0.8779342723004695,0.28776978417266186,187,26,73,20,0.60795597960523,0.4458450731776774,0.5584582765409662
Benchmarking/outputs/probes/curia_whole_all_dce_fusion_image_clinical_logreg,image_clinical_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/curia/whole_all_dce_fusion/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,3.0,0.042,5376.0,1185,306,0.6208289161492252,0.3998529138212682,0.6169922762380736,0.6143790849673203,0.41134751773049644,0.6236559139784946,0.6103286384976526,0.49572649572649574,130,83,35,58,0.6208289161492252,0.3998529138212682,0.5408905043162199
Benchmarking/outputs/probes/curia_whole_all_dce_fusion_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/curia/whole_all_dce_fusion/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,10.0,0.18,5376.0,1185,306,0.5309707708617295,0.34315355381564977,0.5049977283053158,0.5849673202614379,0.3111111111111111,0.3010752688172043,0.7089201877934272,0.30601092896174864,151,62,65,28,0.5309707708617295,0.34315355381564977,0.5086324398000909
Benchmarking/outputs/probes/curia_whole_last_phase_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/curia/whole_last_phase/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.001,0.488,768.0,1185,306,0.5266797920137312,0.33769092732698996,0.4890201423595335,0.5163398692810458,0.2932330827067669,0.41935483870967744,0.5586854460093896,0.34513274336283184,119,94,54,39,0.5266797920137312,0.33769092732698996,0.5165076480387703
Benchmarking/outputs/probes/curia_whole_last_phase_minus_phase0_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/curia/whole_last_phase_minus_phase0/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.001,0.604,768.0,1185,306,0.5333939118582463,0.3452645187512259,0.5181735574738755,0.696078431372549,0.5,0.06451612903225806,0.971830985915493,0.11428571428571428,207,6,87,6,0.5333939118582463,0.3452645187512259,0.525594426775708
Benchmarking/outputs/probes/curia_whole_phase0_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/curia/whole_phase0/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,1.0,0.87,768.0,1185,306,0.480034327830784,0.3056882751282566,0.4967439042859306,0.6535947712418301,0.2903225806451613,0.0967741935483871,0.8967136150234741,0.14516129032258066,191,22,84,9,0.480034327830784,0.3056882751282566,0.47546569741026806
Benchmarking/outputs/probes/curia_whole_phase1_image_clinical_logreg,image_clinical_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/curia/whole_phase1/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.01,0.5660000000000001,768.0,1185,306,0.6730274117825231,0.4432133365363474,0.581856731788581,0.6666666666666666,0.44155844155844154,0.3655913978494624,0.7981220657276995,0.4,170,43,59,34,0.6730274117825231,0.4432133365363474,0.617219445706497
Benchmarking/outputs/probes/curia_whole_phase1_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/curia/whole_phase1/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.001,0.608,768.0,1185,306,0.5008834368216467,0.30576204054238676,0.4872785097682871,0.6699346405228758,0.16666666666666666,0.021505376344086023,0.9530516431924883,0.0380952380952381,203,10,91,2,0.5008834368216467,0.30576204054238676,0.5009844010298349
Benchmarking/outputs/probes/curia_whole_phase1_minus_phase0_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/curia/whole_phase1_minus_phase0/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.1,0.452,768.0,1185,306,0.4727649048412338,0.28690071050850263,0.4984098137210359,0.5294117647058824,0.3023255813953488,0.41935483870967744,0.5774647887323944,0.35135135135135137,123,90,54,39,0.4727649048412338,0.28690071050850263,0.480539148871725
Benchmarking/outputs/probes/curia_whole_phase2_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/curia/whole_phase2/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.001,0.632,768.0,1185,306,0.5258720783482255,0.34999299758862523,0.5013630168105406,0.6895424836601307,0.3333333333333333,0.021505376344086023,0.9812206572769953,0.04040404040404041,209,4,91,2,0.5258720783482255,0.34999299758862523,0.5081023777071028
Benchmarking/outputs/probes/curia_whole_phase2_minus_phase0_image_clinical_logreg,image_clinical_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/curia/whole_phase2_minus_phase0/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.1,0.486,768.0,1185,306,0.653086980665354,0.4450300129351885,0.5876874148114494,0.6241830065359477,0.40350877192982454,0.4946236559139785,0.6807511737089202,0.4444444444444444,145,68,47,46,0.653086980665354,0.4450300129351885,0.5923822504922005
Benchmarking/outputs/probes/curia_whole_phase2_minus_phase0_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/curia/whole_phase2_minus_phase0/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,1.0,0.554,768.0,1185,306,0.5128476954919481,0.3159392210870018,0.522489777373921,0.5882352941176471,0.3333333333333333,0.3548387096774194,0.6901408450704225,0.34375,147,66,60,33,0.5128476954919481,0.3159392210870018,0.5198394669089808
Benchmarking/outputs/probes/curia_whole_raw_phases_fusion_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/curia/whole_raw_phases_fusion/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.1,0.726,3072.0,1185,306,0.5434903326770659,0.34073212671999775,0.5128729365439951,0.6633986928104575,0.35294117647058826,0.12903225806451613,0.8967136150234741,0.1889763779527559,191,22,81,12,0.5434903326770659,0.34073212671999775,0.5308193245494472
Benchmarking/outputs/probes/curia_whole_subtractions_fusion_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/curia/whole_subtractions_fusion/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,1.0,0.65,2304.0,1185,306,0.48331566459690034,0.30555206093888654,0.4629713766469786,0.5686274509803921,0.24,0.1935483870967742,0.7323943661971831,0.21428571428571427,156,57,75,18,0.48331566459690034,0.30555206093888654,0.4670604270786006
