run_dir,probe,manifest,embeddings,usable_flag,selection_metric,best_c,selected_threshold_from_validation,num_embedding_features,official_train_final_fit,official_test,test_roc_auc,test_average_precision,test_balanced_accuracy,test_accuracy,test_precision,test_recall_sensitivity,test_specificity,test_f1,test_tn,test_fp,test_fn,test_tp,test_roc_auc_0p5,test_average_precision_0p5,test_balanced_accuracy_0p5
Benchmarking/outputs/probes/medsiglip_expert_roi_phase1_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/medsiglip/expert_roi_phase1/patient_embeddings.csv,usable_for_expert_roi_benchmark,average_precision,0.01,0.6,1152,1185,306,0.5761017719218537,0.37929865708164084,0.5512645767075571,0.6535947712418301,0.40298507462686567,0.2903225806451613,0.812206572769953,0.3375,173,40,66,27,0.5761017719218537,0.37929865708164084,0.523549901559897
Benchmarking/outputs/probes/medsiglip_expert_roi_phase2_minus_phase0_image_clinical_logreg,image_clinical_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/medsiglip/expert_roi_phase2_minus_phase0/patient_embeddings.csv,usable_for_expert_roi_benchmark,average_precision,0.03,0.41400000000000003,1152,1185,306,0.7027613710939472,0.4807548926201415,0.6528850522489777,0.6601307189542484,0.4573643410852713,0.6344086021505376,0.6713615023474179,0.5315315315315315,143,70,34,59,0.7027613710939472,0.4807548926201415,0.669922762380736
Benchmarking/outputs/probes/medsiglip_expert_roi_phase2_minus_phase0_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/medsiglip/expert_roi_phase2_minus_phase0/patient_embeddings.csv,usable_for_expert_roi_benchmark,average_precision,0.001,0.55,1152,1185,306,0.6213842192942602,0.4033640948450224,0.5650461911252461,0.6601307189542484,0.4225352112676056,0.3225806451612903,0.8075117370892019,0.36585365853658536,172,41,63,30,0.6213842192942602,0.4033640948450224,0.6071482659397244
Benchmarking/outputs/probes/medsiglip_expert_roi_selected_fusion_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/medsiglip/expert_roi_selected_fusion/patient_embeddings.csv,usable_for_expert_roi_benchmark,average_precision,0.003,0.554,2304,1185,306,0.618708667777273,0.40372842749450594,0.5778434045131001,0.6568627450980392,0.4268292682926829,0.3763440860215054,0.7793427230046949,0.4,166,47,58,35,0.618708667777273,0.40372842749450594,0.5856428895956384
Benchmarking/outputs/probes/medsiglip_whole_all_dce_fusion_image_clinical_logreg,image_clinical_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/medsiglip/whole_all_dce_fusion/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.01,0.166,8064,1185,306,0.6385986167903478,0.4258362840088211,0.6212327729819779,0.5359477124183006,0.3804878048780488,0.8387096774193549,0.40375586854460094,0.5234899328859061,86,127,15,78,0.6385986167903478,0.4258362840088211,0.5798879297289111
Benchmarking/outputs/probes/medsiglip_whole_all_dce_fusion_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/medsiglip/whole_all_dce_fusion/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.001,0.47200000000000003,8064,1185,306,0.5474784189004998,0.3685709888357671,0.5195365742844161,0.5588235294117647,0.325,0.41935483870967744,0.6197183098591549,0.36619718309859156,132,81,54,39,0.5474784189004998,0.3685709888357671,0.5168105406633349
Benchmarking/outputs/probes/medsiglip_whole_last_phase_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/medsiglip/whole_last_phase/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.1,0.17200000000000001,1152,1185,306,0.5929627946892827,0.37777630014772573,0.5461154020899591,0.43137254901960786,0.3291139240506329,0.8387096774193549,0.2535211267605634,0.4727272727272727,54,159,15,78,0.5929627946892827,0.37777630014772573,0.5591397849462365
Benchmarking/outputs/probes/medsiglip_whole_last_phase_minus_phase0_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/medsiglip/whole_last_phase_minus_phase0/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.003,0.396,1152,1185,306,0.5605028017567772,0.3466346267238883,0.5422535211267605,0.4934640522875817,0.3333333333333333,0.6666666666666666,0.41784037558685444,0.4444444444444444,89,124,31,62,0.5605028017567772,0.3466346267238883,0.540966227472361
Benchmarking/outputs/probes/medsiglip_whole_phase0_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/medsiglip/whole_phase0/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.3,0.582,1152,1185,306,0.5406128527437024,0.3305397482970978,0.540966227472361,0.6013071895424836,0.3564356435643564,0.3870967741935484,0.6948356807511737,0.3711340206185567,148,65,57,36,0.5406128527437024,0.3305397482970978,0.5064364682719975
Benchmarking/outputs/probes/medsiglip_whole_phase1_image_clinical_logreg,image_clinical_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/medsiglip/whole_phase1/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.003,0.5640000000000001,1152,1185,306,0.7055378868191227,0.4833656268332964,0.5794335907920642,0.6928104575163399,0.4909090909090909,0.2903225806451613,0.8685446009389671,0.36486486486486486,185,28,66,27,0.7055378868191227,0.4833656268332964,0.6467514766015448
