run_dir,probe,manifest,embeddings,usable_flag,selection_metric,best_c,selected_threshold_from_validation,num_embedding_features,official_train_final_fit,official_test,test_roc_auc,test_average_precision,test_balanced_accuracy,test_accuracy,test_precision,test_recall_sensitivity,test_specificity,test_f1,test_tn,test_fp,test_fn,test_tp,test_roc_auc_0p5,test_average_precision_0p5,test_balanced_accuracy_0p5
Benchmarking/outputs/probes/biomedclip_expert_roi_phase1_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/biomedclip/expert_roi_phase1/patient_embeddings.csv,usable_for_expert_roi_benchmark,average_precision,0.001,0.536,512.0,1185,306,0.5803927507698521,0.3797339075250244,0.5610328638497653,0.6503267973856209,0.40789473684210525,0.3333333333333333,0.7887323943661971,0.3668639053254438,168,45,62,31,0.5803927507698521,0.3797339075250244,0.5779191276692413
Benchmarking/outputs/probes/biomedclip_expert_roi_phase2_minus_phase0_image_clinical_logreg,image_clinical_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/biomedclip/expert_roi_phase2_minus_phase0/patient_embeddings.csv,usable_for_expert_roi_benchmark,average_precision,0.01,0.422,512.0,1185,306,0.7062446362764402,0.512677211496683,0.6515977585945782,0.6372549019607843,0.4383561643835616,0.6881720430107527,0.6150234741784038,0.5355648535564853,131,82,29,64,0.7062446362764402,0.512677211496683,0.617219445706497
Benchmarking/outputs/probes/biomedclip_expert_roi_phase2_minus_phase0_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/biomedclip/expert_roi_phase2_minus_phase0/patient_embeddings.csv,usable_for_expert_roi_benchmark,average_precision,0.001,0.374,512.0,1185,306,0.549144328335605,0.3634737927432043,0.5488414357110405,0.41830065359477125,0.3293172690763052,0.8817204301075269,0.215962441314554,0.47953216374269003,46,167,11,82,0.549144328335605,0.3634737927432043,0.5046948356807511
Benchmarking/outputs/probes/biomedclip_expert_roi_selected_fusion_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/biomedclip/expert_roi_selected_fusion/patient_embeddings.csv,usable_for_expert_roi_benchmark,average_precision,0.001,0.56,1024.0,1185,306,0.5649452269170581,0.36089488869373204,0.530743601393306,0.6503267973856209,0.375,0.22580645161290322,0.8356807511737089,0.28187919463087246,178,35,72,21,0.5649452269170581,0.36089488869373204,0.5533848250795093
Benchmarking/outputs/probes/biomedclip_whole_all_dce_fusion_image_clinical_logreg,image_clinical_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/biomedclip/whole_all_dce_fusion/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.003,0.424,3584.0,1185,306,0.6695946287041245,0.46796793516432034,0.624337422383765,0.6372549019607843,0.4296875,0.5913978494623656,0.6572769953051644,0.497737556561086,140,73,38,55,0.6695946287041245,0.46796793516432034,0.6302438285627745
Benchmarking/outputs/probes/biomedclip_whole_all_dce_fusion_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/biomedclip/whole_all_dce_fusion/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.001,0.552,3584.0,1185,306,0.6016961986975616,0.40939188826120554,0.5438437074057247,0.6601307189542484,0.40350877192982454,0.24731182795698925,0.8403755868544601,0.30666666666666664,179,34,70,23,0.6016961986975616,0.40939188826120554,0.5698167499621385
Benchmarking/outputs/probes/biomedclip_whole_last_phase_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/biomedclip/whole_last_phase/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,1.0,0.444,512.0,1185,306,0.5908930284214247,0.3806428550557232,0.5673178858094805,0.5620915032679739,0.3624161073825503,0.5806451612903226,0.5539906103286385,0.4462809917355372,118,95,39,54,0.5908930284214247,0.3806428550557232,0.5635317280024231
Benchmarking/outputs/probes/biomedclip_whole_last_phase_minus_phase0_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/biomedclip/whole_last_phase_minus_phase0/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.003,0.5740000000000001,512.0,1185,306,0.5462668484022414,0.35166996818174556,0.5041647735877631,0.6470588235294118,0.3170731707317073,0.13978494623655913,0.8685446009389671,0.19402985074626866,185,28,80,13,0.5462668484022414,0.35166996818174556,0.5114341965773134
Benchmarking/outputs/probes/biomedclip_whole_phase0_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/biomedclip/whole_phase0/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,3.0,0.634,512.0,1185,306,0.5723156141147963,0.3825783148437979,0.5350598212933515,0.673202614379085,0.4146341463414634,0.1827956989247312,0.8873239436619719,0.2537313432835821,189,24,76,17,0.5723156141147963,0.3825783148437979,0.5624716038164471
Benchmarking/outputs/probes/biomedclip_whole_phase1_image_clinical_logreg,image_clinical_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/biomedclip/whole_phase1/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.03,0.606,512.0,1185,306,0.7388560755212277,0.5525255255312197,0.6046494017870665,0.7026143790849673,0.515625,0.3548387096774194,0.8544600938967136,0.42038216560509556,182,31,60,33,0.7388560755212277,0.5525255255312197,0.6665909435105255
Benchmarking/outputs/probes/biomedclip_whole_phase1_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/biomedclip/whole_phase1/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.01,0.362,512.0,1185,306,0.6184057751527084,0.4040669139698684,0.5755717098288656,0.4934640522875817,0.35096153846153844,0.7849462365591398,0.36619718309859156,0.4850498338870432,78,135,20,73,0.6184057751527084,0.4040669139698684,0.580872330758746
Benchmarking/outputs/probes/biomedclip_whole_phase1_minus_phase0_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/biomedclip/whole_phase1_minus_phase0/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,10.0,0.6940000000000001,512.0,1185,306,0.6035640365490433,0.38247004275905827,0.5293048614266243,0.6862745098039216,0.4444444444444444,0.12903225806451613,0.9295774647887324,0.2,198,15,81,12,0.6035640365490433,0.38247004275905827,0.5641375132515524
Benchmarking/outputs/probes/biomedclip_whole_phase2_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/biomedclip/whole_phase2/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,1.0,0.438,512.0,1185,306,0.5837245696400627,0.39673784932171197,0.5357413296986218,0.5392156862745098,0.3356164383561644,0.5268817204301075,0.5446009389671361,0.4100418410041841,116,97,44,49,0.5837245696400627,0.39673784932171197,0.5530819324549447
Benchmarking/outputs/probes/biomedclip_whole_phase2_minus_phase0_image_clinical_logreg,image_clinical_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/biomedclip/whole_phase2_minus_phase0/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.3,0.504,512.0,1185,306,0.6856984199101419,0.45221105759430397,0.6125246100257459,0.6503267973856209,0.43636363636363634,0.5161290322580645,0.7089201877934272,0.4729064039408867,151,62,45,48,0.6856984199101419,0.45221105759430397,0.6132061184310162
Benchmarking/outputs/probes/biomedclip_whole_phase2_minus_phase0_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/biomedclip/whole_phase2_minus_phase0/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,10.0,0.706,512.0,1185,306,0.5418244232419608,0.3410813013002609,0.5192336816598515,0.6764705882352942,0.39285714285714285,0.11827956989247312,0.92018779342723,0.18181818181818182,196,17,82,11,0.5418244232419608,0.3410813013002609,0.5433136453127366
Benchmarking/outputs/probes/biomedclip_whole_raw_phases_fusion_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/biomedclip/whole_raw_phases_fusion/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.01,0.428,2048.0,1185,306,0.5825634812458983,0.3710858495690294,0.559897016507648,0.5686274509803921,0.3597122302158273,0.5376344086021505,0.5821596244131455,0.43103448275862066,124,89,43,50,0.5825634812458983,0.3710858495690294,0.5550507345146145
Benchmarking/outputs/probes/biomedclip_whole_subtractions_fusion_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/biomedclip/whole_subtractions_fusion/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.003,0.28,1536.0,1185,306,0.5564642334292493,0.363676595304893,0.5304407087687415,0.3758169934640523,0.31851851851851853,0.9247311827956989,0.13615023474178403,0.4738292011019284,29,184,7,86,0.5564642334292493,0.363676595304893,0.5456610631531122
Benchmarking/outputs/probes/clinical_logreg,clinical_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,,usable_for_whole_volume_benchmark,average_precision,0.01,0.596,,1185,306,0.7350446766621233,0.5021832579556443,0.6416023019839467,0.7287581699346405,0.5735294117647058,0.41935483870967744,0.863849765258216,0.484472049689441,184,29,54,39,0.7350446766621233,0.5021832579556443,0.636074511585643
Benchmarking/outputs/probes/curia_expert_roi_phase1_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/curia/expert_roi_phase1/patient_embeddings.csv,usable_for_expert_roi_benchmark,average_precision,0.003,0.392,768.0,1185,306,0.6016961986975617,0.4304761488389308,0.5433893684688778,0.4444444444444444,0.3288888888888889,0.7956989247311828,0.29107981220657275,0.46540880503144655,62,151,19,74,0.6016961986975617,0.4304761488389308,0.5896562168711191
