run_dir,probe,manifest,embeddings,usable_flag,selection_metric,best_c,selected_threshold_from_validation,num_embedding_features,official_train_final_fit,official_test,test_roc_auc,test_average_precision,test_balanced_accuracy,test_accuracy,test_precision,test_recall_sensitivity,test_specificity,test_f1,test_tn,test_fp,test_fn,test_tp,test_roc_auc_0p5,test_average_precision_0p5,test_balanced_accuracy_0p5
Benchmarking/outputs/probes/clinical_logreg,clinical_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,,usable_for_whole_volume_benchmark,average_precision,0.01,0.596,,1185,306,0.7350446766621233,0.5021832579556443,0.6416023019839467,0.7287581699346405,0.5735294117647058,0.41935483870967744,0.863849765258216,0.484472049689441,184,29,54,39,0.7350446766621233,0.5021832579556443,0.636074511585643
Benchmarking/outputs/probes/radiodino_expert_roi_phase1_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/radiodino/expert_roi_phase1/patient_embeddings.csv,usable_for_expert_roi_benchmark,average_precision,0.003,0.428,384.0,1185,306,0.5457115452572063,0.37590359898977,0.5220354384370741,0.5032679738562091,0.3212121212121212,0.5698924731182796,0.47417840375586856,0.4108527131782946,101,112,40,53,0.5457115452572063,0.37590359898977,0.533242465545964
Benchmarking/outputs/probes/radiodino_expert_roi_phase2_minus_phase0_image_clinical_logreg,image_clinical_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/radiodino/expert_roi_phase2_minus_phase0/patient_embeddings.csv,usable_for_expert_roi_benchmark,average_precision,0.003,0.5,384.0,1185,306,0.7060931899641578,0.5005498013682728,0.6383462062698773,0.6862745098039216,0.48484848484848486,0.5161290322580645,0.7605633802816901,0.5,162,51,45,48,0.7060931899641578,0.5005498013682728,0.6383462062698773
Benchmarking/outputs/probes/radiodino_expert_roi_phase2_minus_phase0_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/radiodino/expert_roi_phase2_minus_phase0/patient_embeddings.csv,usable_for_expert_roi_benchmark,average_precision,0.001,0.47600000000000003,384.0,1185,306,0.5730728456762078,0.3870210360841036,0.5535362713917915,0.5555555555555556,0.35172413793103446,0.5483870967741935,0.5586854460093896,0.42857142857142855,119,94,42,51,0.5730728456762078,0.3870210360841036,0.5359684991670453
Benchmarking/outputs/probes/radiodino_expert_roi_selected_fusion_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/radiodino/expert_roi_selected_fusion/patient_embeddings.csv,usable_for_expert_roi_benchmark,average_precision,0.001,0.47600000000000003,768.0,1185,306,0.5557070018678378,0.36359274114313345,0.5356656065424806,0.5686274509803921,0.34146341463414637,0.45161290322580644,0.6197183098591549,0.3888888888888889,132,81,51,42,0.5557070018678378,0.36359274114313345,0.5080266545509616
Benchmarking/outputs/probes/radiodino_whole_all_dce_fusion_image_clinical_logreg,image_clinical_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/radiodino/whole_all_dce_fusion/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.01,0.308,2688.0,1185,306,0.6144681710333686,0.4053459136445118,0.602301983946691,0.5686274509803921,0.38323353293413176,0.6881720430107527,0.5164319248826291,0.49230769230769234,110,103,29,64,0.6144681710333686,0.4053459136445118,0.5768590034832652
Benchmarking/outputs/probes/radiodino_whole_all_dce_fusion_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/radiodino/whole_all_dce_fusion/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.001,0.398,2688.0,1185,306,0.5483366146700995,0.350849337547167,0.5415720127214902,0.49673202614379086,0.3333333333333333,0.6559139784946236,0.4272300469483568,0.4420289855072464,91,122,32,61,0.5483366146700995,0.350849337547167,0.5339239739512343
Benchmarking/outputs/probes/radiodino_whole_last_phase_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/radiodino/whole_last_phase/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,10.0,0.024,384.0,1185,306,0.4673633197031653,0.2840988257172545,0.501514463122823,0.369281045751634,0.3046875,0.8387096774193549,0.1643192488262911,0.4469914040114613,35,178,15,78,0.4673633197031653,0.2840988257172545,0.44328335605028013
Benchmarking/outputs/probes/radiodino_whole_last_phase_minus_phase0_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/radiodino/whole_last_phase_minus_phase0/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.001,0.522,384.0,1185,306,0.5295067898430007,0.32171460556614995,0.5442980463425715,0.6143790849673203,0.3655913978494624,0.3655913978494624,0.7230046948356808,0.3655913978494624,154,59,59,34,0.5295067898430007,0.32171460556614995,0.527638951991519
Benchmarking/outputs/probes/radiodino_whole_phase0_logreg,embedding_logistic_regression,./Benchmarking/outputs/manifests/mamamia_multiphase_foundation_manifest.csv,Benchmarking/outputs/embeddings/radiodino/whole_phase0/patient_embeddings.csv,usable_for_whole_volume_benchmark,average_precision,0.003,0.5740000000000001,384.0,1185,306,0.5366752486243627,0.34290520968474325,0.5146145691352415,0.6405228758169934,0.33962264150943394,0.1935483870967742,0.8356807511737089,0.2465753424657534,178,35,75,18,0.5366752486243627,0.34290520968474325,0.503028926245646
