dataset,n_test,n_pcr,n_non_pcr,pcr_prevalence,n_bootstrap,seed,stratification,model,benchmark_group,crop,input,run_name,baseline_run_name,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,bootstrap_probability_delta_gt_zero_roc_auc,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high,bootstrap_probability_delta_gt_zero_average_precision,delta_balanced_accuracy,delta_balanced_accuracy_ci_low,delta_balanced_accuracy_ci_high,bootstrap_probability_delta_gt_zero_balanced_accuracy
DUKE,91,30,61,0.32967032967032966,5000,20260922,pcr_within_dataset,BiomedCLIP,Image-only,Whole volume,Phase 1,biomedclip_whole_phase1_logreg,clinical_logreg,-0.2928961748633881,-0.4453688524590164,-0.14259562841530105,0.0,-0.2914328945054548,-0.44075593470884417,-0.11509831346517538,0.0006,-0.0540983606557377,-0.17841530054644805,0.06202185792349724,0.1834
DUKE,91,30,61,0.32967032967032966,5000,20260922,pcr_within_dataset,Curia,Image-only,Expert ROI,Phase 2 - phase 0,curia_expert_roi_phase2_minus_phase0_logreg,clinical_logreg,-0.16448087431693992,-0.30710382513661205,-0.0180327868852459,0.013,-0.18068216541968507,-0.33308671941746426,-0.009335275882592009,0.0184,-0.04016393442622945,-0.14836065573770496,0.06830601092896171,0.2604
DUKE,91,30,61,0.32967032967032966,5000,20260922,pcr_within_dataset,Curia,Image-only,Expert ROI,Selected ROI fusion,curia_expert_roi_selected_fusion_logreg,clinical_logreg,-0.15355191256830603,-0.2896174863387978,-0.011475409836065542,0.0142,-0.20558996105063404,-0.3437975905537351,-0.038979413430309244,0.0078,-0.06584699453551912,-0.14891393442622955,0.016939890710382488,0.0648
DUKE,91,30,61,0.32967032967032966,5000,20260922,pcr_within_dataset,MedSigLIP,Image-only,Expert ROI,Phase 2 - phase 0,medsiglip_expert_roi_phase2_minus_phase0_logreg,clinical_logreg,-0.09781420765027327,-0.23498633879781414,0.04154371584699434,0.0854,-0.18821192683971966,-0.3427315036215403,0.027379301959557026,0.0418,-0.06612021857923489,-0.1743169398907104,0.042076502732240395,0.13
DUKE,91,30,61,0.32967032967032966,5000,20260922,pcr_within_dataset,Pillar-0 BreastMRI,Image-only,Expert ROI,Phase 0 + phase 2 + last phase,pillar0_breastmri_expert_roi_phase0_phase2_last_logreg,clinical_logreg,-0.18360655737704923,-0.3355191256830601,-0.021844262295082083,0.012,-0.24220109556668318,-0.40143350053598303,-0.021992488595962496,0.0148,-0.030327868852458972,-0.16311475409836063,0.10245901639344257,0.3386
DUKE,91,30,61,0.32967032967032966,5000,20260922,pcr_within_dataset,RadImageNet,Image-only,Whole volume,Phase 2 - phase 0,radimagenet_whole_phase2_minus_phase0_logreg,clinical_logreg,-0.16775956284153004,-0.30054644808743175,-0.027322404371584726,0.0094,-0.2385287678581101,-0.39017168000661495,-0.047579877371794144,0.007,-0.006830601092896127,-0.1407103825136612,0.1262295081967213,0.479
DUKE,91,30,61,0.32967032967032966,5000,20260922,pcr_within_dataset,RadioDINO,Image-only,Expert ROI,Phase 2 - phase 0,radiodino_expert_roi_phase2_minus_phase0_logreg,clinical_logreg,-0.20054644808743172,-0.33881147540983614,-0.05519125683060111,0.0038,-0.30093192002849745,-0.43300494008828455,-0.11782259347297824,0.001,-0.06338797814207653,-0.19536202185792342,0.06120901639344261,0.1764
DUKE,91,30,61,0.32967032967032966,5000,20260922,pcr_within_dataset,BiomedCLIP,Image + clinical,Whole volume,Phase 1,biomedclip_whole_phase1_image_clinical_logreg,clinical_logreg,-0.0841530054644809,-0.1705054644808743,0.0005601092896174592,0.026,-0.12582794677833697,-0.23971638727678585,-0.0019927746646480364,0.0238,-0.007923497267759538,-0.09098360655737703,0.0672131147540983,0.4488
DUKE,91,30,61,0.32967032967032966,5000,20260922,pcr_within_dataset,Curia,Image + clinical,Expert ROI,Phase 2 - phase 0,curia_expert_roi_phase2_minus_phase0_image_clinical_logreg,clinical_logreg,-0.05245901639344264,-0.1573770491803279,0.04974043715846976,0.1538,-0.04164132947407462,-0.17225843841062483,0.09515458985388352,0.2896,0.10109289617486339,0.009562841530054711,0.20054644808743172,0.986
DUKE,91,30,61,0.32967032967032966,5000,20260922,pcr_within_dataset,MedSigLIP,Image + clinical,Whole volume,Phase 1,medsiglip_whole_phase1_image_clinical_logreg,clinical_logreg,-0.049180327868852514,-0.14699453551912567,0.04699453551912558,0.1566,-0.08297834922303227,-0.19931628062211262,0.04517656511085568,0.105,-0.04999999999999993,-0.12486338797814212,0.016673497267759515,0.0714
