dataset,n_test,n_pcr,n_non_pcr,pcr_prevalence,n_bootstrap,seed,stratification,model,benchmark_group,crop,input,run_name,run_dir,selection_reason,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high
DUKE,91,30,61,0.32967032967032966,5000,20260922,pcr_within_dataset,Clinical baseline,Clinical-only,,Clinical variables,clinical_logreg,Benchmarking/outputs/probes/clinical_logreg,Clinical-only reference,0.7874316939890711,0.6923360655737705,0.8721311475409836,0.6678933823794686,0.5446839939975852,0.7956627023409861,0.5918032786885246,0.5251366120218579,0.6666666666666666
DUKE,91,30,61,0.32967032967032966,5000,20260922,pcr_within_dataset,BiomedCLIP,Image-only,Whole volume,Phase 1,biomedclip_whole_phase1_logreg,Benchmarking/outputs/probes/biomedclip_whole_phase1_logreg,Exploratory per-model Image-only AUROC winner,0.494535519125683,0.36228142076502734,0.6256967213114752,0.3764604878740138,0.28948836864874644,0.5133347586384118,0.5377049180327869,0.4292349726775956,0.6453551912568305
DUKE,91,30,61,0.32967032967032966,5000,20260922,pcr_within_dataset,Curia,Image-only,Expert ROI,Phase 2 - phase 0,curia_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/curia_expert_roi_phase2_minus_phase0_logreg,Exploratory per-model Image-only AUROC winner; Exploratory overall Image-only AUROC winner,0.6229508196721312,0.4956147540983607,0.7459016393442622,0.48721121695978353,0.37136031761038396,0.6432299518461294,0.5516393442622951,0.4601092896174863,0.6510928961748634
DUKE,91,30,61,0.32967032967032966,5000,20260922,pcr_within_dataset,Curia,Image-only,Expert ROI,Selected ROI fusion,curia_expert_roi_selected_fusion_logreg,Benchmarking/outputs/probes/curia_expert_roi_selected_fusion_logreg,Exploratory overall Image-only AP winner,0.6338797814207651,0.5147540983606558,0.7524590163934426,0.46230342132883456,0.3586566710342896,0.6220733675787832,0.5259562841530054,0.45136612021857925,0.601543715846992
DUKE,91,30,61,0.32967032967032966,5000,20260922,pcr_within_dataset,MedSigLIP,Image-only,Expert ROI,Phase 2 - phase 0,medsiglip_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/medsiglip_expert_roi_phase2_minus_phase0_logreg,Exploratory per-model Image-only AUROC winner,0.6896174863387978,0.5743169398907104,0.8016393442622951,0.47968145553974895,0.3889207882894935,0.6542531354645877,0.5256830601092897,0.4592896174863388,0.5926229508196721
DUKE,91,30,61,0.32967032967032966,5000,20260922,pcr_within_dataset,Pillar-0 BreastMRI,Image-only,Expert ROI,Phase 0 + phase 2 + last phase,pillar0_breastmri_expert_roi_phase0_phase2_last_logreg,Benchmarking/outputs/probes/pillar0_breastmri_expert_roi_phase0_phase2_last_logreg,Exploratory per-model Image-only AUROC winner,0.6038251366120219,0.47922131147540986,0.7273360655737704,0.4256922868127854,0.3400480787504757,0.6021290961185066,0.5614754098360656,0.45382513661202184,0.6693989071038251
DUKE,91,30,61,0.32967032967032966,5000,20260922,pcr_within_dataset,RadImageNet,Image-only,Whole volume,Phase 2 - phase 0,radimagenet_whole_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/radimagenet_whole_phase2_minus_phase0_logreg,Exploratory per-model Image-only AUROC winner; Exploratory overall Image-only balanced accuracy winner,0.619672131147541,0.5005464480874318,0.7371721311475408,0.4293646145213585,0.3420227556462123,0.5736074510227064,0.5849726775956284,0.485792349726776,0.6849726775956284
DUKE,91,30,61,0.32967032967032966,5000,20260922,pcr_within_dataset,RadioDINO,Image-only,Expert ROI,Phase 2 - phase 0,radiodino_expert_roi_phase2_minus_phase0_logreg,Benchmarking/outputs/probes/radiodino_expert_roi_phase2_minus_phase0_logreg,Exploratory per-model Image-only AUROC winner,0.5868852459016394,0.473224043715847,0.7016530054644807,0.36696146235097116,0.3100034688163677,0.5052529050142959,0.528415300546448,0.42103825136612016,0.6360655737704918
DUKE,91,30,61,0.32967032967032966,5000,20260922,pcr_within_dataset,BiomedCLIP,Image + clinical,Whole volume,Phase 1,biomedclip_whole_phase1_image_clinical_logreg,Benchmarking/outputs/probes/biomedclip_whole_phase1_image_clinical_logreg,Exploratory per-model Image + clinical AUROC winner; Exploratory overall Image + clinical AUROC winner; Exploratory overall Image + clinical AP winner,0.7032786885245902,0.5901639344262295,0.8065573770491803,0.5420654356011316,0.42143260017188994,0.6949119380793042,0.583879781420765,0.509016393442623,0.6672131147540984
DUKE,91,30,61,0.32967032967032966,5000,20260922,pcr_within_dataset,Curia,Image + clinical,Expert ROI,Phase 2 - phase 0,curia_expert_roi_phase2_minus_phase0_image_clinical_logreg,Benchmarking/outputs/probes/curia_expert_roi_phase2_minus_phase0_image_clinical_logreg,Exploratory per-model Image + clinical AUROC winner,0.7349726775956285,0.6218579234972678,0.8366120218579235,0.626252052905394,0.493357460670241,0.7722404388133267,0.692896174863388,0.5937158469945355,0.792622950819672
